Region,Resource Assessment Site ID ,Site Name/Facility ,Design Head (feet) ,Design Flow (cfs) ,Installed Capacity (kW) ,Annual Production (MWh) ,Plant Factor ,"Total Construction Cost (1,000 $) ","Annual O&M Cost (1,000 $) ",Cost per Installed Capacity ($/kW) ,Benefit Cost Ratio with Green Incentives,IRR with Green Incentives,Benefit Cost Ratio without Green Incentives,IRR without Green Incentives
UC,UC-147 ,"South Canal, Sta. 181+10, Site ""#4""",63,773,"3,046","15,536",0.59,"$9,975.10 ",$318.00 ,"$3,275 ",1.44,8.00%,1.35,7.20%
UC,UC-148 ,"South Canal, Sta. 472+00, Site ""#5""",28,773,"1,354","6,905",0.59,"$6,155.40 ",$193.10 ,"$4,548 ",1.05,4.80%,0.98,4.20%
UC,UC-150 ,"South Canal, Sta.106+65, Site ""#3""",46,773,"2,224","11,343",0.59,"$8,399.70 ",$264.00 ,"$3,777 ",1.26,6.60%,1.18,5.90%
UC,UC-154 ,"Southside Canal, Sta 171+ 90 thru 200+ 67 (2 canal drops) ",346,81,"2,026","6,557",0.38,"$5,595.90 ",$199.50 ,"$2,762 ",1.05,4.80%,0.99,4.20%
UC,UC-155 ,"Southside Canal, Sta 349+ 05 thru 375+ 42 (3 canal drops) ",282,81,"1,651","5,344",0.38,"$5,169.80 ",$180.40 ,"$3,131 ",0.93,3.70%,0.88,3.20%
UC,UC-159 ,Spanish Fork Flow Control Structure,900,124,"8,114","22,920",0.33,"$13,147.50 ",$435.90 ,"$1,620 ",1.66,9.60%,1.57,8.60%
UC,UC-162,Starvation Dam ,144,292,"3,043","13,168",0.5,"$10,530.60 ",$302.60 ,"$3,461 ",1.23,6.20%,1.15,5.60%
UC,UC-164,Stateline Dam ,89,44,282,720,0.3,"$8,492.40 ",$195.10 ,"$30,145 ",0.09, < 0 ,0.08,< 0 
UC,UC-166,Steinaker Dam ,120,70,603,"1,965",0.38,"$2,388.40 ",$93.90 ,"$3,959 ",0.71,1.00%,0.67,0.70%
UC,UC-169,Stillwater Tunnel ,65,88,413,"1,334",0.38,"$6,342.40 ",$159.50 ,"$15,340 ",0.21,< 0 ,0.2,< 0 
UC,UC-174,Sumner Dam ,114,100,822,"4,300",0.61,"$4,193.50 ",$130.00 ,"$5,103 ",0.98,4.20%,0.92,3.70%
UC,UC-177,Syar Tunnel ,125,195,"1,762","7,982",0.53,"$8,246.10 ",$222.70 ,"$4,680 ",0.99,4.30%,0.93,3.80%
UC,UC-179 ,Taylor Park Dam ,141,250,"2,543","12,488",0.57,"$10,991.20 ",$299.30 ,"$4,323 ",1.12,5.40%,1.05,4.80%
UC,UC-185 ,Upper Diamond Fork Flow Control Structure ,547,309,"12,214","52,161",0.5,"$22,058.50 ",$613.60 ,"$1,806 ",2.36,13.60%,2.22,12.20%
UC,UC-187 ,Upper Stillwater Dam ,161,50,581,"1,904",0.38,"$6,064.50 ",$158.50 ,"$10,431 ",0.32, < 0 ,0.31,< 0 
UC,UC-190,Vega Dam ,90,84,548,"1,702",0.36,"$3,012.50 ",$103.70 ,"$5,499 ",0.51, < 0 ,0.48,< 0 
UC,UC-196 ,Weber-Provo Canal ,184,32,424,"1,844",0.51,"$14,266.20 ",$311.30 ,"$33,648 ",0.14, < 0 ,0.13,< 0 
UC,UC-197 ,Weber-Provo Diversion Canal ,100,24,173,517,0.35,"$13,771.40 ",$291.40 ,"$79,382 ",0.04, < 0 ,0.04,< 0 
